code;name;baseidd;region;idd;time_start;time_end;opening_date;zone;s_stat;phone;phoneext;email;addr
351;м-н Кривой Рог ТЦ Виктория Плаза;0001120;Украина;00005550003211804;09:00;21:00;2010-08-19 00:00:00.000;UTC +03:00;Действует;+380-56-404-05-39;1337;rozn1120@gloria-jeans.ru;м. Кривий Ріг, вул. Лермонтова,  37/1
353;м-н Пермь Пушкина;0001122;Урал;00005550003211806;10:00;21:00;2010-09-11 00:00:00.000;UTC +05:00;Действует;8-800-500-82-82;1229;rozn1122@gloria-jeans.ru;г.Пермь, ул.Пушкина 89а
354;м-н Колпино ТЦ Ока;0001123;Северо-Западный регион;00005550003211807;10:00;21:00;2010-10-02 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1322;rozn1123@gloria-jeans.ru;г. Колпино, ул. Октябрьская 8
84;м-н Орехово-Зуево ТЦ Капитолий;0000716;Центральный регион;00005550003221290;09:00;22:00;2007-09-07 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1366;rozn716@gloria-jeans.ru;г.Орехово-Зуево, ул. Я.Флиера, д.4
30;м-н Москва Реал-Братеево;0000707;Центральный регион;00005550003221292;10:00;22:00;2005-09-04 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1369;rozn707@gloria-jeans.ru;г. Москва, Проектируемый проезд №5396 владение 15
311;м-н Омск Марченко;0000967;Сибирь;00005550003200200;10:00;21:00;2010-03-27 00:00:00.000;UTC +06:00;Действует;8-800-500-82-82;1214;rozn967@gloria-jeans.ru;г. Омск, ул. Марченко 3
313;м-н Тамбов ТЦ Реал;0000969;Центральный регион;00005550003200202;10:00;22:00;2010-03-25 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1283;rozn969@gloria-jeans.ru;г. Тамбов, ул. Советская 194/2
315;м-н Днепр ТЦ Аполло;0000971;Украина;00005550003200204;10:00;22:00;2010-02-26 00:00:00.000;UTC +03:00;Действует;+380-56-375-75-89;1068;rozn971@gloria-jeans.ru;м. Дніпро, вул. Титова, 36 (літера А-3,5)
318;м-н Новосибирск ТЦ Версаль;0000974;Сибирь;00005550003200207;10:00;22:00;2010-04-17 00:00:00.000;UTC +07:00;Действует;8-800-500-82-82;1417;rozn974@gloria-jeans.ru;г. Новосибирск, пл. им. Карла Маркса 3
319;м-н Ижевск ТЦ Столица;0000975;Поволжье;00005550003200208;10:00;21:00;2010-04-30 00:00:00.000;UTC +04:00;Действует;8-800-500-82-82;1088;rozn975@gloria-jeans.ru;г. Ижевск, ул. Автозаводская, 3 А
320;м-н Астрахань ТЦ Три Кота;0000976;Южный регион;00005550003200209;09:00;21:00;2010-04-28 00:00:00.000;UTC +04:00;Действует;8-800-500-82-82;1029;rozn976@gloria-jeans.ru;г. Астрахань, ул. Минусинская 8 Б
321;м-н Новороссийск ТЦ Красная Площадь;0000977;Южный регион;00005550003200210;10:00;22:00;2010-04-25 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1412;rozn977@gloria-jeans.ru;г. Новороссийск, Анапское шоссе 2
322;м-н Иваново ТЦ Евролэнд;0000978;Центральный регион;00005550003200211;09:00;21:00;2010-03-19 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1086;rozn978@gloria-jeans.ru;г. Иваново, ул. Куконковых 141
323;м-н Курган ТЦ Гипер Сити;0000979;Урал;00005550003200212;10:00;22:00;2010-05-07 00:00:00.000;UTC +05:00;Действует;8-800-500-82-82;1338;rozn979@gloria-jeans.ru;г. Курган, ул. Коли Мяготина 8
324;м-н Брянск ТЦ Мельница;0000980;Центральный регион;00005550003200213;09:00;21:00;2010-11-04 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1447;rozn980@gloria-jeans.ru;г. Брянск, ул. Красноармейская 100
325;м-н Шатура Ильича;0000981;Центральный регион;00005550003200214;09:00;21:00;2010-04-28 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1436;rozn981@gloria-jeans.ru;г. Шатура, пр. Ильича, д.34
326;м-н Лобня ТЦ Поворот;0000982;Центральный регион;00005550003200215;10:00;22:00;2010-05-23 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1348;rozn982@gloria-jeans.ru;г. Лобня, Краснополянский проезд 2
328;м-н Череповец ТЦ Июнь;0000984;Северо-Западный регион;00005550003200217;10:00;22:00;2010-07-11 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1433;rozn984@gloria-jeans.ru;г. Череповец, ул. Годовикова, 37
330;м-н Москва ТЦ Вегас;0000986;Центральный регион;00005550003200219;10:00;23:00;2010-06-01 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1372;rozn986@gloria-jeans.ru;Московская обл., Ленинский район, пос. совхоз имени Ленина 24 км МКАД вл.1
331;м-н Южно-Сахалинск ТЦ Сити Молл;0000987;Дальний Восток;00005550003200220;10:00;21:00;2010-05-20 00:00:00.000;UTC +11:00;Действует;8-800-500-82-82;1441;rozn987@gloria-jeans.ru;г. Южно-Сахалинск, п/р Хомутово, ул. 2-я Центральная 1Б
333;м-н Улан-Удэ ТЦ Пиплз Парк;0000989;Сибирь;00005550003200222;10:00;22:00;2010-05-01 00:00:00.000;UTC +08:00;Действует;8-800-500-82-82;1420;rozn989@gloria-jeans.ru;г. Улан-Удэ, ул. Жердева 104 Б
334;м-н Вологда ТЦ Мармелад;0000990;Северо-Западный регион;00005550003200223;10:00;21:00;2010-04-04 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1059;rozn990@gloria-jeans.ru;г. Вологда, Пошехонское шоссе 22
39;м-н Москва Раменское;0000708;Центральный регион;00005550003202271;10:00;21:00;2006-01-28 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1368;rozn708@gloria-jeans.ru;Раменское, Вокзальная, 4 Б
24;м-н Москва Солнцево;0000705;Центральный регион;00005550003202284;10:00;22:00;2004-12-18 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1370;rozn705@gloria-jeans.ru;г.Москва, Боровское шоссе, вл.6
337;м-н Абакан Перекрещенко;0000993;Сибирь;00005550003203701;10:00;20:00;2010-05-08 00:00:00.000;UTC +07:00;Действует;8-800-500-82-82;1020;rozn993@gloria-jeans.ru;г. Абакан, ул. Кати Перекрещенко 18 В
339;м-н Воронеж ТЦ Максимир;0000995;Центральный регион;00005550003203703;10:00;22:00;2010-06-03 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1063;rozn995@gloria-jeans.ru;г. Воронеж, пр.Ленинский, 174
340;м-н С.-Петербург ТЦ Орион;0000996;Северо-Западный регион;00005550003203704;10:00;22:00;2010-09-18 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1255;rozn996@gloria-jeans.ru;г.Санкт-Петербург, пр.Испытателей 35
359;м-н Самара ТЦ Гудок;0001126;Поволжье;00005550003241474;10:00;22:00;2016-12-28 00:00:00.000;UTC +04:00;Действует;8-800-500-82-82;1900;rozn1126@gloria-jeans.ru;г. Самара, ул. Красноармейская, д.131
137;м-н Москва ТЦ Новоясеневский;0000742;Центральный регион;00005550003253143;10:00;22:00;2008-10-02 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1375;rozn742@gloria-jeans.ru;г. Москва, Новоясеневский пр., владение 1
361;м-н Благовещенск ТЦ Авоська;0001128;Дальний Восток;00005550003271827;09:00;21:00;2010-07-13 00:00:00.000;UTC +09:00;Действует;8-800-500-82-82;1041;rozn1128@gloria-jeans.ru;г. Благовещенск, ул. Октябрьская 146
362;м-н С.-Петербург ТЦ Радуга;0001129;Северо-Западный регион;00005550003271828;10:00;22:00;2016-12-08 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1899;rozn1129@gloria-jeans.ru;г. Санкт-Петербург, пр-кт Космонавтов, 14 литер Б
364;м-н Новосибирск ТЦ Голден Парк;0001131;Сибирь;00005550003271830;10:00;22:00;2010-10-14 00:00:00.000;UTC +07:00;Действует;8-800-500-82-82;1642;rozn1131@gloria-jeans.ru;Калининский р-н, ул. Курчатова 1
365;м-н Москва ТЦ Ключевой;0001132;Центральный регион;00005550003271831;10:00;22:00;2010-08-28 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1374;rozn1132@gloria-jeans.ru;г. Москва, ул. Борисовские пруды 26
366;м-н Тверь ТЦ Рубин;0001133;Центральный регион;00005550003271832;10:00;22:00;2010-10-01 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1286;rozn1133@gloria-jeans.ru;г. Тверь, пр-т Калинина 15/1
368;м-н Октябрьский ТЦ Аструм;0001135;Поволжье;00005550003271834;10:00;19:00;2010-08-20 00:00:00.000;UTC +05:00;Действует;8-800-500-82-82;1456;rozn1135@gloria-jeans.ru;г. Октябрьский, ул. Островского 6 А
400;м-н Уфа ТЦ Центральный;0001167;Поволжье;00005550003331798;10:00;22:00;2010-11-15 00:00:00.000;UTC +05:00;Действует;8-800-500-82-82;1451;rozn1167@gloria-jeans.ru;г. Уфа, ул. Цюрупы 97
401;м-н С.-Петербург ТЦ Балканский;0001168;Северо-Западный регион;00005550003360186;10:00;22:00;2011-05-31 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1487;rozn1168@gloria-jeans.ru;г. С.-Петербург, Балканская пл. 5
402;м-н Красноярск ТЦ Оптима;0001169;Сибирь;00005550003360187;10:00;21:00;2010-11-13 00:00:00.000;UTC +07:00;Действует;8-800-500-82-82;1453;rozn1169@gloria-jeans.ru;г.Красноярск, ул. Молокова 56/1
403;м-н Реутов ТК Шоколад;0001170;Центральный регион;00005550003360188;10:00;22:00;2010-12-08 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1810;rozn1170@gloria-jeans.ru;Московская обл., г. Реутов, 2-й км МКАД д. 2
404;м-н Королев Королева;0001171;Центральный регион;00005550003360189;09:00;21:00;2011-01-12 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1473;rozn1171@gloria-jeans.ru;г. Королев, пр. Королева 9
405;м-н Казань ТЦ Южный;0001172;Поволжье;00005550003360190;10:00;22:00;2011-06-20 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1492;rozn1172@gloria-jeans.ru;г. Казань, пр-т Победы 91
407;м-н Чебоксары ТЦ МТВ;0001174;Поволжье;00005550003360192;10:00;21:00;2010-12-23 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1465;rozn1174@gloria-jeans.ru;г. Чебоксары, пр. И. Яковлева 4Б
408;м-н Чебоксары ТЦ Каскад;0001175;Поволжье;00005550003360193;10:00;22:00;2010-11-25 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1458;rozn1175@gloria-jeans.ru;г. Чебоксары, Президентский бульвар 20
411;м-н Саратов ТЦ Триумф Молл;0001178;Поволжье;00005550003360196;10:00;22:00;2010-12-15 00:00:00.000;UTC +04:00;Действует;8-800-500-82-82;1466;rozn1178@gloria-jeans.ru;г. Саратов, ул. Зарубина В.С. 167
413;м-н Житомир ТЦ Глобал;0001180;Украина;00005550003360198;10:00;21:00;2010-12-08 00:00:00.000;UTC +03:00;Действует;+380-41-251-25-01;1472;rozn1180@gloria-jeans.ru;м. Житомир, вул. Київська, 77
414;м-н С.-Петербург ТЦ Галерея;0001181;Северо-Западный регион;00005550003360223;10:00;23:00;2010-11-25 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1454;rozn1181@gloria-jeans.ru;г. Санкт-Петербург, Лиговский проспект, д. 30, лит. А
416;м-н Новосибирск ТЦ Аура;0001183;Сибирь;00005550003360225;10:00;22:00;2011-03-18 00:00:00.000;UTC +07:00;Действует;8-800-500-82-82;1377;rozn1183@gloria-jeans.ru;г. Новосибирск, ул. Военная 5
418;м-н Волжский ТЦ Планета Лето;0001185;Южный регион;00005550003360227;10:00;21:00;2010-12-30 00:00:00.000;UTC +04:00;Действует;8-800-500-82-82;1471;rozn1185@gloria-jeans.ru;г. Волжский, бульвар Профсоюзов 1б
419;м-н Обнинск ТЦ Триумф Плаза;0001186;Центральный регион;00005550003360228;10:00;22:00;2010-12-18 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1464;rozn1186@gloria-jeans.ru;г.Обнинск, мкр 51а
420;м-н Энгельс ТЦ Лазурный;0001187;Поволжье;00005550003360229;10:00;21:00;2011-02-19 00:00:00.000;UTC +04:00;Действует;8-800-500-82-82;1360;rozn1187@gloria-jeans.ru;г. Энгельс, пл. Ленина 4
421;м-н Полтава ТЦ Киев;0001188;Украина;00005550003360230;09:00;21:00;2010-12-25 00:00:00.000;UTC +03:00;Действует;+380-53-251-12-79;1467;rozn1188@gloria-jeans.ru;м. Полтава, вул. Зіньківська, 6/1А
422;м-н Орск ТЦ ЦУМ;0001189;Поволжье;00005550003360231;10:00;21:00;2011-02-10 00:00:00.000;UTC +05:00;Действует;8-800-500-82-82;1317;rozn1189@gloria-jeans.ru;г. Орск, ул. Васнецова 16
425;м-н Тольятти ТЦ Мадагаскар;0001192;Поволжье;00005550003360234;10:00;21:00;2011-01-22 00:00:00.000;UTC +04:00;Подготовка к закрытию;8-800-500-82-82;1474;rozn1192@gloria-jeans.ru;г. Тольятти, 20 квартал, ул. Льва Яшина 14
426;м-н Кисловодск ТЦ Кристалл;0001193;Южный регион;00005550003360235;09:00;20:00;2010-12-25 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1468;rozn1193@gloria-jeans.ru;г.Кисловодск, ул. Горького 14
428;м-н Самара ТЦ Самолет;0001195;Поволжье;00005550003360237;10:00;22:00;2010-12-15 00:00:00.000;UTC +04:00;Действует;8-800-500-82-82;1460;rozn1195@gloria-jeans.ru;г. Самара,, Московское шоссе 185а
429;м-н Саранск ТЦ Энгельса;0001196;Поволжье;00005550003360238;10:00;21:00;2011-03-29 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1489;rozn1196@gloria-jeans.ru;г. Саранск, ул. Энгельса 26
431;м-н Пермь ТЦ Столица;0001198;Урал;00005550003360240;10:00;21:00;2011-04-22 00:00:00.000;UTC +05:00;Действует;8-800-500-82-82;1475;rozn1198@gloria-jeans.ru;г.Пермь,ул. Мира 41/1
434;м-н Йошкар-Ола ТЦ К.Маркса;0001201;Поволжье;00005550003360243;10:00;21:00;2011-03-29 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1223;rozn1201@gloria-jeans.ru;г. Йошкар Ола, ул. К.Маркса 101
435;м-н Ишимбай ТЦ Ишимбай;0001202;Поволжье;00005550003360244;10:00;20:00;2010-11-30 00:00:00.000;UTC +05:00;Действует;8-800-500-82-82;1457;rozn1202@gloria-jeans.ru;Республика Башкортостан, г. Ишимбай, ул. Стахановская 92
436;м-н Усолье-Сибирское Республики;0001203;Сибирь;00005550003360245;10:00;20:00;2011-03-30 00:00:00.000;UTC +08:00;Действует;8-800-500-82-82;1295;rozn1203@gloria-jeans.ru;г. м-н Усолье-Сибирское, ул. Республики 6
437;м-н Нижний Тагил ТЦ Мегамарт;0001204;Урал;00005550003360246;10:00;21:00;2011-03-22 00:00:00.000;UTC +05:00;Подготовка к закрытию;8(863)2-618-901;1781;rozn1204@gloria-jeans.ru;г. Нижний Тагил, Ленинградский пр-т. 28
438;м-н Липецк ТЦ Европа;0001205;Центральный регион;00005550003360255;10:00;22:00;2010-11-20 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1455;rozn1205@gloria-jeans.ru;г. Липецк, ул. Советская 66
441;м-н Новошахтинск Базарная;0001208;Южный регион;00005550003360259;09:00;20:00;2011-01-26 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1419;rozn1208@gloria-jeans.ru;г. Новошахтинск, ул. Базарная 31 (33/9)
440;м-н Южноуральск ТЦ Южный;0001207;Урал;00005550003360261;10:00;20:00;2010-12-27 00:00:00.000;UTC +05:00;Действует;8-800-500-82-82;1470;rozn1207@gloria-jeans.ru;г. Южноуральск, ул. Победы 22
443;м-н Наро-Фоминск ТЦ Серпантин;0001210;Центральный регион;00005550003360321;09:00;21:00;2011-04-29 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1476;rozn1210@gloria-jeans.ru;г. Наро-Фоминск, ул. Ленина 8
444;м-н Муром Советская;0001211;Центральный регион;00005550003360354;09:00;20:00;2011-04-28 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1477;rozn1211@gloria-jeans.ru;г. Муром, ул. Советская 29
445;м-н Воронеж ТЦ Град;0001212;Центральный регион;00005550003360355;10:00;22:00;2011-03-04 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1974;rozn1212@gloria-jeans.ru;Рамонский р-н., пос. Солнечный, ул. Парковая 3
446;м-н Брянск ТЦ Консул;0001213;Центральный регион;00005550003360356;10:00;21:00;2011-07-07 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1567;rozn1213@gloria-jeans.ru;г. Брянск, ул. Куйбышева 15а
447;м-н Борисполь ТЦ Аэромолл;0001214;Украина;00005550003360357;10:00;22:00;2011-03-31 00:00:00.000;UTC +03:00;Подготовка к закрытию;+380-44-364-68-39;1289;rozn1214@gloria-jeans.ru;м. Бориспіль, вул. Київський шлях, 2/6
449;м-н Геленджик Тельмана;0001216;Южный регион;00005550003418472;10:00;22:00;2011-05-25 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1484;rozn1216@gloria-jeans.ru;г.Геленджик, ул. Тельмана 135
450;м-н Ейск ТЦ Гелиос Холл;0001217;Южный регион;00005550003418473;10:00;20:00;2011-03-29 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1234;rozn1217@gloria-jeans.ru;г. Ейск, ул. Западная 1/1
452;м-н Екатеринбург Космонавтов;0001219;Урал;00005550003418475;10:00;21:00;2011-06-05 00:00:00.000;UTC +05:00;Действует;8-800-500-82-82;1488;rozn1219@gloria-jeans.ru;г. Екатеринбург, пр. Космонавтов 51
453;м-н Сарапул Красноармейская;0001220;Поволжье;00005550003418476;09:00;20:00;2011-06-29 00:00:00.000;UTC +04:00;Действует;8-800-500-82-82;1520;rozn1220@gloria-jeans.ru;г. Сарапул, ул. Красноармейская 76а
454;м-н Якутск ТЦ Айсберг;0001221;Сибирь;00005550003418477;10:00;19:00;2011-04-29 00:00:00.000;UTC +09:00;Действует;8-800-500-82-82;1482;rozn1221@gloria-jeans.ru;г. Якутск, ул. Лермонтова 62/4
455;м-н Белгород ТЦ Рио;0001222;Центральный регион;00005550003418478;10:00;22:00;2011-05-30 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1494;rozn1222@gloria-jeans.ru;г. Белгород, пр. Б. Хмельницкого 164
458;м-н Ижевск ТЦ Аврора Парк;0001225;Поволжье;00005550003418481;10:00;21:00;2011-05-19 00:00:00.000;UTC +04:00;Действует;8-800-500-82-82;1483;rozn1225@gloria-jeans.ru;г. Ижевск, ул. Удмуртская 304
462;м-н Ачинск Кравченко;0001229;Сибирь;00005550003418484;10:00;21:00;2011-05-28 00:00:00.000;UTC +07:00;Действует;8-800-500-82-82;1486;rozn1229@gloria-jeans.ru;г.Ачинск, микрорайон 1, дом 41А, корпус 1
463;м-н С.-Петербург ТЦ Меркурий;0001230;Северо-Западный регион;00005550003418485;10:00;22:00;2011-07-02 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1524;rozn1230@gloria-jeans.ru;г. Санкт-Петербург, ул. Савушкина 141а
464;м-н Благовещенск Ленина;0001231;Дальний Восток;00005550003418486;10:00;21:00;2011-05-07 00:00:00.000;UTC +09:00;Действует;8-800-500-82-82;1485;rozn1231@gloria-jeans.ru;г. Благовещенск, ул. Ленина 121
465;м-н Ярославль ТЦ Рио;0001232;Центральный регион;00005550003418487;09:00;21:00;2011-07-08 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1536;rozn1232@gloria-jeans.ru;г. Ярославль, Тутаевское шоссе, д. 1
466;м-н Киров ТЦ Джам Молл;0001233;Центральный регион;00005550003418488;10:00;22:00;2011-07-08 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1523;rozn1233@gloria-jeans.ru;г. Киров, ул. Горького 5а
467;м-н Кузнецк ТЦ Лига;0001234;Поволжье;00005550003418489;09:00;20:00;2011-06-20 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1542;rozn1234@gloria-jeans.ru;г. Кузнецк, ул. Минская 27
469;м-н Москва ТЦ Рио Гранд;0001236;Центральный регион;00005550003418492;10:00;22:00;2011-06-18 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1526;rozn1236@gloria-jeans.ru;г. Москва, ш.Дмитровское 163а/1
473;м-н Адлер ТЦ Демократический;0001240;Южный регион;00005550003418496;09:00;19:00;2011-06-15 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1491;rozn1240@gloria-jeans.ru;г. Адлер, ул. Демократическая 42
474;м-н Лиски Коммунистическая;0001241;Центральный регион;00005550003418497;09:00;19:00;2011-07-07 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1522;rozn1241@gloria-jeans.ru;г. Лиски, ул. Коммунистическая 21
475;м-н Михайловск Карла Маркса;0001242;Южный регион;00005550003418498;09:00;20:00;2011-06-18 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1496;rozn1242@gloria-jeans.ru;г. Михайловск, ул. К. Маркса 79
476;м-н Чехов ТЦ Карнавал;0001243;Центральный регион;00005550003418499;10:00;22:00;2011-06-24 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1521;rozn1243@gloria-jeans.ru;г. Чехов, ул. Московская, вл. 96
477;м-н Харьков ТЦ Украина;0001244;Украина;00005550003418500;10:00;22:00;2011-04-28 00:00:00.000;UTC +03:00;Действует;+380-57-766-60-90;1480;rozn1244@gloria-jeans.ru;м. Харків, пр-т Тракторобудівників, 59/56
478;м-н Ржев Спасская;0001245;Центральный регион;00005550003418504;09:00;20:00;2011-06-28 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1644;rozn1245@gloria-jeans.ru;г. Ржев, ул. Большая Спасская 8
481;м-н Дубна ТЦ Маяк;0001248;Центральный регион;00005550003418507;10:00;22:00;2011-07-23 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1532;rozn1248@gloria-jeans.ru;г. Дубна, пр. Боголюбова 24а
484;м-н Находка ТЦ Зебра;0001251;Дальний Восток;00005550003418509;10:00;20:00;2011-07-30 00:00:00.000;UTC +10:00;Действует;8-800-500-82-82;1540;rozn1251@gloria-jeans.ru;г. Находка, пр. Находкинский 5
487;м-н Горно-Алтайск Коммунистический;0001254;Сибирь;00005550003418512;10:00;20:00;2011-07-29 00:00:00.000;UTC +07:00;Действует;8-800-500-82-82;1650;rozn1254@gloria-jeans.ru;г. Горно-Алтайск, пр. Коммунистический 80
489;м-н Братск Наймушина;0001256;Сибирь;00005550003418514;10:00;20:00;2011-09-30 00:00:00.000;UTC +08:00;Действует;8-800-500-82-82;1564;rozn1256@gloria-jeans.ru;Иркутская обл., г. Братск, ж.р.Энергетик, ул. Наймушина 5
491;м-н Чусовой ТЦ Сатурн;0001258;Урал;00005550003418515;10:00;20:00;2011-07-23 00:00:00.000;UTC +05:00;Действует;8-800-500-82-82;1535;rozn1258@gloria-jeans.ru;г. Чусовой, ул. Мира 17
492;м-н Кемерово ТЦ Радуга;0001259;Сибирь;00005550003418516;10:00;21:00;2011-07-20 00:00:00.000;UTC +07:00;Действует;8-800-500-82-82;1531;rozn1259@gloria-jeans.ru;г. Кемерово, пр. Шахтеров 54
493;м-н Саяногорск Интернациональный;0001260;Сибирь;00005550003418517;09:00;19:00;2011-08-10 00:00:00.000;UTC +07:00;Действует;8-800-500-82-82;1637;rozn1260@gloria-jeans.ru;г. Саяногорск, Интернациональный мкр. 7 А
495;м-н Волгоград Героев Сталинграда;0001262;Южный регион;00005550003418519;10:00;21:00;2011-09-14 00:00:00.000;UTC +04:00;Действует;8-800-500-82-82;1561;rozn1262@gloria-jeans.ru;г. Волгоград, бульвар им. Энгельса 25
496;м-н Новотроицк ТЦ Ринг;0001263;Поволжье;00005550003418520;11:00;20:00;2011-08-29 00:00:00.000;UTC +05:00;Действует;8-800-500-82-82;1554;rozn1263@gloria-jeans.ru;Оренбургская обл., г. Новотроицк, ул. Советская 84
498;м-н Тольятти ТЦ Русь на Волге;0001265;Поволжье;00005550003418521;10:00;22:00;2011-07-29 00:00:00.000;UTC +04:00;Действует;8-800-500-82-82;1538;rozn1265@gloria-jeans.ru;г. Тольятти, ул. Революционная 52а
499;м-н Минусинск ТЦ Енисей;0001266;Сибирь;00005550003418522;10:00;20:00;2011-09-25 00:00:00.000;UTC +07:00;Действует;8-800-500-82-82;1563;rozn1266@gloria-jeans.ru;г. Минусинск, ул. Абаканская 50А
500;м-н Клин ТЦ Атак;0001267;Центральный регион;00005550003418523;10:00;21:00;2011-08-08 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1547;rozn1267@gloria-jeans.ru;г. Клин, ул. К. Маркса 2а
459;м-н Хабаровск ТЦ Магазины Радости;0001226;Дальний Восток;00005550003418524;10:00;21:00;2011-06-25 00:00:00.000;UTC +10:00;Действует;8-800-500-82-82;1497;rozn1226@gloria-jeans.ru;г.Хабаровск, ул. Ким-Ю-Чена 44
501;м-н Ухта ТЦ Ярмарка;0001268;Северо-Западный регион;00005550003620178;10:00;21:00;2011-08-04 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1544;rozn1268@gloria-jeans.ru;г. Ухта, ул. Строительная 2а
502;м-н Тайшет Суворова;0001269;Сибирь;00005550003620179;09:00;19:00;2011-09-11 00:00:00.000;UTC +08:00;Действует;8-800-500-82-82;1557;rozn1269@gloria-jeans.ru;Иркутская обл.,г. Тайшет, ул. Суворова 4/1
503;м-н Архангельск Троицкий;0001270;Северо-Западный регион;00005550003620180;10:00;21:00;2011-08-18 00:00:00.000;UTC +03:00;Подготовка к закрытию;8-800-500-82-82;1552;rozn1270@gloria-jeans.ru;г. Архангельск, пр. Троицкий 81
508;м-н Волгодонск Морская;0001275;Южный регион;00005550003620185;09:00;20:00;2011-08-13 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1549;rozn1275@gloria-jeans.ru;г. Волгодонск, ул. Морская 86,стр. 4
509;м-н Бирск ТЦ Нефтяник;0001276;Поволжье;00005550003620186;10:00;20:00;2011-11-02 00:00:00.000;UTC +05:00;Действует;8-800-500-82-82;1580;rozn1276@gloria-jeans.ru;г. Бирск, ул. 8 марта 46
512;м-н Ростов ТЦ Реал;0001279;Южный регион;00005550003620191;10:00;22:00;2011-07-23 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1534;rozn1279@gloria-jeans.ru;г. Ростов-на-Дону, Ворошиловский р-н, ул. Омская 2к
513;м-н Ставрополь ТЦ Москва;0001280;Южный регион;00005550003620192;10:00;22:00;2011-07-30 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1539;rozn1280@gloria-jeans.ru;г. Ставрополь, ул. Тухачевского 14/2
515;м-н Дзержинск ТЦ Росси;0001282;Центральный регион;00005550003620194;09:00;20:00;2011-07-29 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1537;rozn1282@gloria-jeans.ru;г. Дзержинск, ул. Гайдара 59
516;м-н Воронеж ТЦ Галерея Чижова;0001283;Центральный регион;00005550003620195;10:00;22:00;2011-08-06 00:00:00.000;UTC +03:00;Действует;8-800-500-82-82;1545;rozn1283@gloria-jeans.ru;г. Воронеж, ул. Кольцовская 35
518;м-н Миасс ТЦ Слон;0001285;Урал;00005550003620197;10:00;22:00;2011-09-22 00:00:00.000;UTC +05:00;На реконструкции;8-800-500-82-82;1562;rozn1285@gloria-jeans.ru;г. Миасс, проспект Автозаводцев 65
